Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,4,8
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,4,8
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,3,7
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,2,5
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,4,8
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,3,7
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,2,5
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,4,8
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,3,7
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,2,5
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,4,8
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,3,7
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7,7,2,5
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,4,8
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,3,7
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,2,5
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,4,8
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7,5,3,7
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,2,5
193,19,Female,Undergraduate,Nepal,6,TikTok,Yes,5,6,4,8
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,3,7
201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,2,5
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,4,8
209,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,3,7
213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,2,5
217,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,4,8
221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6,5,4,9
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,1,3
229,19,Female,Undergraduate,USA,7,TikTok,Yes,5.8,4,4,9
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8,8,1,3
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,4,9
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,1,3
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,4,9
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,1,3
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,4,9
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,1,3
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,4,9
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,1,3
269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,4,9
273,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,1,3
277,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,4,9
281,19,Female,Undergraduate,Japan,3.1,LINE,No,8.5,8,1,3
285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,4,9
289,19,Female,Undergraduate,Japan,3,LINE,No,8.6,8,1,3
293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,4,9
297,19,Female,Undergraduate,Japan,2.9,LINE,No,8.7,8,1,3
301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,4,9
305,19,Female,Undergraduate,Japan,2.8,LINE,No,8.8,8,1,3
309,19,Female,Undergraduate,USA,7,TikTok,Yes,5.1,4,4,9
313,19,Female,Undergraduate,Japan,2.7,LINE,No,8.9,8,1,3
317,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5,4,4,9
321,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,3,7
325,19,Female,Undergraduate,Switzerland,4,Instagram,No,7.9,8,2,4
329,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,2,5
333,19,Female,Undergraduate,Ireland,4.8,Instagram,Yes,7.1,7,3,6
337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,4,9
341,19,Female,Undergraduate,Spain,5,Instagram,Yes,6.9,6,3,7
345,19,Female,Undergraduate,Switzerland,3.7,Instagram,No,8.1,8,2,4
349,19,Female,Undergraduate,France,4.3,Instagram,No,7.7,7,2,5
353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,3,6
357,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.2,5,4,9
361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,3,7
365,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,2,4
369,19,Female,Undergraduate,France,4.1,Instagram,No,7.9,7,2,5
373,19,Female,Undergraduate,Ireland,4.4,Instagram,Yes,7.5,7,3,6
377,19,Female,Undergraduate,USA,7.3,Instagram,Yes,5,5,4,9
381,19,Female,Undergraduate,Spain,4.6,Instagram,Yes,7.3,6,3,7
385,19,Female,Undergraduate,Switzerland,3.3,Instagram,No,8.5,8,2,4
389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,2,5
393,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,3,6
397,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,4,9
401,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,3,7
405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,2,4
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,2,5
413,19,Female,Undergraduate,Ireland,4,Instagram,Yes,7.9,7,3,6
417,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,4,9
421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,3,7
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,2,4
429,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,2,5
433,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,3,6
437,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,4,9
441,19,Female,Undergraduate,Spain,4,Instagram,Yes,7.9,6,3,7
445,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,2,4
449,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,2,5
453,19,Female,Undergraduate,Ireland,3.6,Instagram,Yes,8.3,7,3,6
457,19,Female,Undergraduate,USA,8.1,Instagram,Yes,4.2,5,4,9
461,19,Female,Undergraduate,Spain,3.8,Instagram,Yes,8.1,6,3,7
465,19,Female,Undergraduate,Switzerland,2.5,Instagram,No,9.3,8,2,4
469,19,Female,Undergraduate,France,3.1,Instagram,No,8.9,7,2,5
473,19,Female,Undergraduate,Ireland,3.4,Instagram,Yes,8.5,7,3,6
477,19,Female,Undergraduate,USA,8.3,Instagram,Yes,4,5,4,9
481,19,Female,Undergraduate,Spain,3.6,Instagram,Yes,8.3,6,3,7
485,19,Female,Undergraduate,Switzerland,2.3,Instagram,No,9.5,8,2,4
489,19,Female,Undergraduate,France,2.9,Instagram,No,9.1,7,2,5
493,19,Female,Undergraduate,Ireland,3.2,Instagram,Yes,8.7,7,3,6
497,19,Female,Undergraduate,USA,8.5,Instagram,Yes,3.8,5,4,9
501,19,Female,Undergraduate,Brazil,6.2,WhatsApp,Yes,6.3,6,3,7
505,19,Female,Undergraduate,Singapore,5.1,TikTok,Yes,7,6,3,7
509,19,Female,Undergraduate,India,6.8,WhatsApp,Yes,6,5,4,8
513,19,Female,Undergraduate,Netherlands,3.7,TikTok,No,8.3,8,2,4
517,19,Female,Undergraduate,UAE,6.6,Instagram,Yes,6.4,5,4,8
521,19,Female,Undergraduate,Brazil,6,WhatsApp,Yes,6.5,6,3,7
525,19,Female,Undergraduate,Singapore,5.3,TikTok,Yes,6.8,6,3,7
529,19,Female,Undergraduate,India,7,WhatsApp,Yes,5.8,5,4,8
533,19,Female,Undergraduate,Netherlands,3.5,Instagram,No,8.5,8,2,4
537,19,Female,Undergraduate,UAE,6.8,Instagram,Yes,6.2,5,4,8
541,19,Female,Undergraduate,Brazil,5.8,WhatsApp,Yes,6.7,6,3,7
545,19,Female,Undergraduate,Singapore,5.5,TikTok,Yes,6.6,6,3,7
549,19,Female,Undergraduate,India,7.2,WhatsApp,Yes,5.6,5,4,8
553,19,Female,Undergraduate,Netherlands,3.3,Instagram,No,8.7,8,2,4
557,19,Female,Undergraduate,UAE,7,Instagram,Yes,6,5,4,8
561,19,Female,Undergraduate,Brazil,5.6,WhatsApp,Yes,6.9,6,3,7
565,19,Female,Undergraduate,Singapore,5.7,TikTok,Yes,6.4,6,3,7
569,19,Female,Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,4,8
573,19,Female,Undergraduate,Ireland,5.5,TikTok,Yes,6.8,6,4,8
579,19,Female,Undergraduate,France,4.7,Twitter,No,7.4,7,2,5
585,19,Female,Undergraduate,Japan,4.5,Twitter,No,7.6,8,2,4
591,19,Female,Undergraduate,India,7,Instagram,Yes,5.8,4,5,9
600,19,Male,Undergraduate,Russia,6.7,Instagram,Yes,6,4,4,8
606,19,Male,Undergraduate,Denmark,4.7,Instagram,No,7.2,7,2,5
612,19,Male,Undergraduate,Mexico,6.5,Facebook,Yes,6.1,5,4,8
618,19,Male,Undergraduate,China,5.6,WeChat,Yes,6.8,6,3,7
624,19,Male,Undergraduate,Ireland,5.8,Instagram,Yes,6.6,6,3,7
630,19,Male,Undergraduate,France,4.7,Instagram,No,7.2,7,2,5
636,19,Male,Undergraduate,Japan,4.4,Twitter,No,7.4,8,2,4
642,19,Male,Undergraduate,India,7.2,TikTok,Yes,5.7,4,5,9
651,19,Female,Undergraduate,Russia,6.8,Instagram,Yes,5.9,4,5,9
657,19,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,2,5
663,19,Female,Undergraduate,Mexico,6.4,TikTok,Yes,6.2,5,4,8
669,19,Female,Undergraduate,China,5.7,WeChat,Yes,6.7,6,3,7
675,19,Female,Undergraduate,Ireland,5.9,Instagram,Yes,6.5,6,3,7
681,19,Female,Undergraduate,France,4.7,Instagram,No,7.2,7,2,5
687,19,Female,Undergraduate,Japan,4.2,Twitter,No,7.5,8,2,4
693,19,Female,Undergraduate,India,7,TikTok,Yes,5.8,4,5,9
699,19,Female,Undergraduate,Canada,5.7,Instagram,Yes,6.6,6,3,7
705,19,Female,Undergraduate,Poland,6.2,Facebook,Yes,6.3,5,4,8
3,20,Female,Undergraduate,USA,6,TikTok,Yes,5,5,4,9
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6,6,2,8
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,2,8
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6,6,3,7
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,3,7
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,4,8
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,3,7
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,3,7
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,4,8
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,3,7
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,3,7
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,4,8
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,3,7
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,3,7
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,4,8
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6,6,3,7
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,2,6
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,3,7
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,4,8
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,3,7
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,2,6
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,3,7
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,4,8
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,3,7
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,3,7
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,4,8
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,4,8
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,3,7
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,3,7
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,3,7
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,2,5
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,2,5
132,20,Female,Undergraduate,Pakistan,5,Instagram,Yes,6.6,5,4,8
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,3,7
140,20,Female,Undergraduate,Maldives,4,Instagram,No,8,8,2,5
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7,5,4,8
148,20,Female,Undergraduate,India,5,Instagram,Yes,5,6,3,7
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,2,5
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,4,8
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,3,7
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,4,8
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,3,7
171,20,Female,Undergraduate,Sri Lanka,5,Facebook,No,7.3,7,2,5
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,4,8
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,3,7
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,2,5
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,4,8
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,3,7
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,2,5
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,4,8
203,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,3,7
207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,2,5
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,4,8
215,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8,5,3,7
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,2,5
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,2,5
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,3,6
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,2,5
235,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.8,6,3,6
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,2,5
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,3,6
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,2,5
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,3,6
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,2,5
259,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.7,6,3,6
263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,2,5
267,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7,6,3,6
271,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,2,5
275,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,3,6
279,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,2,5
283,20,Female,Undergraduate,South Korea,4.6,KakaoTalk,Yes,7.2,6,3,6
287,20,Female,Undergraduate,Australia,4.3,Instagram,No,7.5,7,2,5
291,20,Female,Undergraduate,South Korea,4.5,KakaoTalk,Yes,7.3,6,3,6
295,20,Female,Undergraduate,Australia,4.2,Facebook,No,7.6,7,2,5
299,20,Female,Undergraduate,South Korea,4.4,KakaoTalk,Yes,7.4,6,3,6
303,20,Female,Undergraduate,Australia,4.1,Instagram,No,7.7,7,2,5
307,20,Female,Undergraduate,South Korea,4.3,KakaoTalk,Yes,7.5,6,3,6
311,20,Female,Undergraduate,Australia,4,Facebook,No,7.8,7,2,5
315,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,3,6
319,20,Female,Undergraduate,Australia,3.9,Instagram,No,7.9,7,2,5
323,20,Female,Undergraduate,Ireland,5,Instagram,Yes,7,7,3,6
327,20,Female,Undergraduate,USA,6.8,TikTok,Yes,5.5,5,4,9
331,20,Female,Undergraduate,Spain,5.1,TikTok,Yes,6.7,6,3,7
335,20,Female,Undergraduate,Switzerland,3.8,Instagram,No,8,8,2,4
339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,2,5
343,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,3,6
347,20,Female,Undergraduate,USA,7,TikTok,Yes,5.3,5,4,9
351,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7,6,3,7
355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,2,4
359,20,Female,Undergraduate,France,4.2,Instagram,No,7.8,7,2,5
363,20,Female,Undergraduate,Ireland,4.5,TikTok,Yes,7.4,7,3,6
367,20,Female,Undergraduate,USA,7.2,TikTok,Yes,5.1,5,4,9
371,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,3,7
375,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,2,4
379,20,Female,Undergraduate,France,4,Instagram,No,8,7,2,5
383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,3,6
387,20,Female,Undergraduate,USA,7.4,TikTok,Yes,4.9,5,4,9
391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,3,7
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,2,4
399,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,2,5
403,20,Female,Undergraduate,Ireland,4.1,TikTok,Yes,7.8,7,3,6
407,20,Female,Undergraduate,USA,7.6,TikTok,Yes,4.7,5,4,9
411,20,Female,Undergraduate,Spain,4.3,TikTok,Yes,7.6,6,3,7
415,20,Female,Undergraduate,Switzerland,3,Instagram,No,8.8,8,2,4
419,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,2,5
423,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8,7,3,6
427,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,4,9
431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,3,7
435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9,8,2,4
439,20,Female,Undergraduate,France,3.4,Instagram,No,8.6,7,2,5
443,20,Female,Undergraduate,Ireland,3.7,TikTok,Yes,8.2,7,3,6
447,20,Female,Undergraduate,USA,8,TikTok,Yes,4.3,5,4,9
451,20,Female,Undergraduate,Spain,3.9,TikTok,Yes,8,6,3,7
455,20,Female,Undergraduate,Switzerland,2.6,Instagram,No,9.2,8,2,4
459,20,Female,Undergraduate,France,3.2,Instagram,No,8.8,7,2,5
463,20,Female,Undergraduate,Ireland,3.5,TikTok,Yes,8.4,7,3,6
467,20,Female,Undergraduate,USA,8.2,TikTok,Yes,4.1,5,4,9
471,20,Female,Undergraduate,Spain,3.7,TikTok,Yes,8.2,6,3,7
475,20,Female,Undergraduate,Switzerland,2.4,Instagram,No,9.4,8,2,4
479,20,Female,Undergraduate,France,3,Instagram,No,9,7,2,5
483,20,Female,Undergraduate,Ireland,3.3,TikTok,Yes,8.6,7,3,6
487,20,Female,Undergraduate,USA,8.4,TikTok,Yes,3.9,5,4,9
491,20,Female,Undergraduate,Spain,3.5,TikTok,Yes,8.4,6,3,7
495,20,Female,Undergraduate,Switzerland,2.2,Instagram,No,9.6,8,2,4
499,20,Female,Undergraduate,France,2.8,Instagram,No,9.2,7,2,5
503,20,Female,Undergraduate,Netherlands,3.8,Instagram,No,8.2,8,2,4
507,20,Female,Undergraduate,UAE,6.5,Instagram,Yes,6.5,5,4,8
511,20,Female,Undergraduate,Brazil,6.1,Instagram,Yes,6.4,6,3,7
515,20,Female,Undergraduate,Singapore,5.2,TikTok,Yes,6.9,6,3,7
519,20,Female,Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,4,8
523,20,Female,Undergraduate,Netherlands,3.6,Instagram,No,8.4,8,2,4
527,20,Female,Undergraduate,UAE,6.7,Instagram,Yes,6.3,5,4,8
531,20,Female,Undergraduate,Brazil,5.9,TikTok,Yes,6.6,6,3,7
535,20,Female,Undergraduate,Singapore,5.4,TikTok,Yes,6.7,6,3,7
539,20,Female,Undergraduate,India,7.1,WhatsApp,Yes,5.7,5,4,8
543,20,Female,Undergraduate,Netherlands,3.4,Instagram,No,8.6,8,2,4
547,20,Female,Undergraduate,UAE,6.9,Instagram,Yes,6.1,5,4,8
551,20,Female,Undergraduate,Brazil,5.7,TikTok,Yes,6.8,6,3,7
555,20,Female,Undergraduate,Singapore,5.6,TikTok,Yes,6.5,6,3,7
559,20,Female,Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,4,8
563,20,Female,Undergraduate,Netherlands,3.2,Instagram,No,8.8,8,2,4
567,20,Female,Undergraduate,UAE,7.1,Instagram,Yes,5.9,5,4,8
571,20,Female,Undergraduate,Spain,6.1,Instagram,Yes,7.2,5,4,7
577,20,Female,Undergraduate,USA,5.9,Instagram,Yes,6.7,6,3,7
583,20,Female,Undergraduate,Russia,6.7,Instagram,Yes,6,5,4,8
589,20,Female,Undergraduate,Denmark,4.4,Instagram,No,7.4,7,2,5
595,20,Female,Undergraduate,Mexico,6.2,Facebook,Yes,6.3,5,4,8
598,20,Male,Undergraduate,UK,6.4,Facebook,Yes,6.2,5,4,8
604,20,Male,Undergraduate,Finland,4.5,Facebook,No,7.4,7,2,5
610,20,Male,Undergraduate,Turkey,6.6,TikTok,Yes,6.2,5,4,8
616,20,Male,Undergraduate,Italy,4.6,Facebook,No,7.2,7,2,5
622,20,Male,Undergraduate,Spain,6.5,Facebook,Yes,6.2,5,4,8
628,20,Male,Undergraduate,USA,5.5,Twitter,Yes,6.8,6,3,7
634,20,Male,Undergraduate,Russia,6.9,Instagram,Yes,5.9,4,5,9
640,20,Male,Undergraduate,Denmark,4.5,Twitter,No,7.3,7,2,5
647,20,Female,Undergraduate,France,4.8,Instagram,No,7.1,7,2,5
653,20,Female,Undergraduate,Japan,4.3,Twitter,No,7.5,8,2,4
659,20,Female,Undergraduate,India,7.1,TikTok,Yes,5.8,4,5,9
665,20,Female,Undergraduate,Canada,5.6,Instagram,Yes,6.7,6,3,7
671,20,Female,Undergraduate,Poland,6.1,Facebook,Yes,6.4,5,4,8
677,20,Female,Undergraduate,Switzerland,4.6,TikTok,No,7.2,7,2,5
683,20,Female,Undergraduate,UK,6.1,Twitter,Yes,6.4,5,4,8
689,20,Female,Undergraduate,Finland,4.4,Instagram,No,7.4,7,2,5
